Task ID,Task Name,Task Category,Task Description,Task Check,Task Virtual Reward,Task Real Reward
190,Survival Task 190: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"140 XP, 20 coins",None
191,Engineering Task 191: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"141 XP, 21 coins",None
192,Innovation Task 192: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"142 XP, 22 coins",None
193,Fitness Task 193: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"143 XP, 23 coins",None
194,Fitness Task 194: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"144 XP, 24 coins",None
195,Survival Task 195: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"145 XP, 25 coins",None
196,Social Task 196: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"146 XP, 26 coins",None
197,Survival Task 197: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"147 XP, 27 coins",None
198,Governance Task 198: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"148 XP, 28 coins",None
199,Education Task 199: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"149 XP, 29 coins",None
200,Education Task 200: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"150 XP, 20 coins","Exclusive knowledge, priority access to research"
201,Governance Task 201: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"151 XP, 21 coins",None
202,Governance Task 202: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"152 XP, 22 coins",None
203,Exploration Task 203: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"153 XP, 23 coins",None
204,Fitness Task 204: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"154 XP, 24 coins",None
205,Fitness Task 205: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"155 XP, 25 coins",None
206,Innovation Task 206: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"156 XP, 26 coins",None
207,Social Task 207: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"157 XP, 27 coins",None
208,Governance Task 208: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"158 XP, 28 coins",None
209,Creative Task 209: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"159 XP, 29 coins",None
210,Innovation Task 210: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"160 XP, 20 coins",None
211,Social Task 211: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"161 XP, 21 coins",None
212,Creative Task 212: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"162 XP, 22 coins",None
213,Exploration Task 213: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"163 XP, 23 coins",None
214,Education Task 214: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"164 XP, 24 coins",None
215,Spiritual Task 215: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"165 XP, 25 coins",None
216,Education Task 216: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"166 XP, 26 coins",None
217,Exploration Task 217: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"167 XP, 27 coins",None
218,Engineering Task 218: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"168 XP, 28 coins",None
219,Innovation Task 219: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"169 XP, 29 coins",None
220,Education Task 220: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"170 XP, 20 coins","Exclusive knowledge, priority access to research"
221,Spiritual Task 221: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"171 XP, 21 coins",None
222,Engineering Task 222: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"172 XP, 22 coins",None
223,Spiritual Task 223: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"173 XP, 23 coins",None
224,Governance Task 224: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"174 XP, 24 coins",None
225,Creative Task 225: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"100 XP, 25 coins",None
226,Fitness Task 226: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"101 XP, 26 coins",None
227,Governance Task 227: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"102 XP, 27 coins",None
228,Governance Task 228: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"103 XP, 28 coins",None
229,Spiritual Task 229: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"104 XP, 29 coins",None
230,Spiritual Task 230: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"105 XP, 20 coins",None
231,Exploration Task 231: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"106 XP, 21 coins",None
232,Social Task 232: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"107 XP, 22 coins",None
233,Engineering Task 233: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"108 XP, 23 coins",None
234,Survival Task 234: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"109 XP, 24 coins",None
235,Education Task 235: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"110 XP, 25 coins",None
236,Innovation Task 236: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"111 XP, 26 coins",None
237,Creative Task 237: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"112 XP, 27 coins",None
238,Innovation Task 238: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"113 XP, 28 coins",None
239,Fitness Task 239: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"114 XP, 29 coins",None
240,Spiritual Task 240: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"115 XP, 20 coins","Exclusive knowledge, priority access to research"
